Date,Have done,"Considered
doing","Have not
considered"
2020 Aug 17-30,55,14,31
2020 Aug 10-16,58,13,29
2020 Aug 3-9,55,15,30
2020 Jul 27-Aug 2,61,14,25
2020 Jul 20-26,58,14,28
2020 Jul 13-19,61,14,25
2020 Jul 6-12,62,12,25
2020 Jun 29-Jul 5,60,14,26
2020 Jun 22-28,62,12,26
2020 Jun 15-21,58,14,29
2020 Jun 8-14,56,13,31
2020 Jun 1-7,60,13,27
2020 May 25-31,64,12,24
2020 May 18-24,65,12,23
2020 May 11-17,65,10,25
2020 May 4-10,71,11,18
2020 Apr 27-May 3,74,8,17
2020 Apr 20-26,75,9,16
2020 Apr 13-19,75,11,14
2020 Apr 6-12,78,12,11
2020 Mar 30-Apr 5,79,13,8
2020 Mar 23-29,77,14,9
2020 Mar 16-22,62,24,13
2020 Mar 13-15,31,39,30