Date,A lot better,A little better,Staying about the same,A little worse,A lot worse
2020 Aug 17-30,10,19,23,21,26
2020 Aug 10-16,9,16,14,24,36
2020 Aug 3-9,9,14,17,23,37
2020 Jul 27-Aug 2,6,14,13,23,44
2020 Jul 20-26,4,12,11,22,50
2020 Jul 13-19,5,10,12,17,55
2020 Jul 6-12,9,13,12,20,46
2020 Jun 29-Jul 5,8,10,13,24,44
2020 Jun 22-28,8,15,12,28,37
2020 Jun 15-21,12,23,17,27,21
2020 Jun 8-14,14,29,20,24,13
2020 Jun 1-7,16,31,22,21,9
2020 May 25-31,14,28,22,22,13
2020 May 18-24,12,30,21,23,13
2020 May 11-17,10,26,22,25,17
2020 May 4-10,7,28,23,23,19
2020 Apr 27-May 3,11,34,23,21,12
2020 Apr 20-26,7,34,21,24,14
2020 Apr 13-19,8,32,20,25,15
2020 Apr 6-12,4,24,15,31,25