Date,Yes,No
2020 Aug 17-30,30,70
2020 Aug 10-16,30,70
2020 Aug 3-9,27,73
2020 Jul 27-Aug 2,26,74
2020 Jul 20-26,30,70
2020 Jul 13-19,28,72
2020 July 6-12,25,75
2020 Jun 29-Jul 5,24,76
2020 Jun 22-28,27,73
2020 Jun 15-21,29,71
2020 Jun 8-14,30,70
2020 Jun 1-7,38,62
2020 May 25-31,29,71
2020 May 18-24,28,72
2020 May 11-17,29,71
2020 May 4-10,31,69
2020 Apr 27-May 3,28,72
2020 Apr 20-26,31,69
2020 Apr 13-19,33,67
2020 Apr 6-12,34,66
2020 Mar 30-Apr 5,37,63
2020 Mar 23-29,32,68